P3 Topp 300%1964 till 2024;;;
1988;216. Buffalo Stance;Neneh Cherry;https://open.spotify.com/track/3XWgwgbWDI56mf1Wl3cLzb?si=
2018;215. When The%Party's Over;Billie Eilish;https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I?si=
1983;214. Total Eclipse%Of The Heart;Bonnie Tyler;https://open.spotify.com/track/7wuJGgpTNzbUyn26IOY6rj?si=
2006;213. Hips Don't Lie;Shakira;https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V?si=
2005;212. First Day Of My Life;Bright Eyes;https://open.spotify.com/track/0eBryM7ePQH3Klt3jz8xZd?si=
1982;211. Little Red Corvette;Prince;https://open.spotify.com/track/4mVW9vi2QnLzlbK5SoacK6?si=
1999;210. Say My Name;Destiny's Child;https://open.spotify.com/track/7H6ev70Weq6DdpZyyTmUXk?si=
1973;209. Sabbath%Bloody Sabbath;Black Sabbath;https://open.spotify.com/track/2bku1YWarHpKlxVC2FB9dH?si=
2019;208. Blinding Lights;The Weeknd;https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b?si=
1987;207. Sweet Child O' Mine;Guns N' Roses;https://open.spotify.com/track/7snQQk1zcKl8gZ92AnueZW?si=
1973;206. If You Want%Me To Stay;Sly & The%Family Stone;https://open.spotify.com/track/2BydLQAh7CUIFvSEqAMc4x?si=
1975;205. Diamonds%And Rust;Joan Baez;https://open.spotify.com/track/4O0sGJdqpHMaWz7KoVd7tb?si=
1977;204. Passenger;Iggy Pop;https://open.spotify.com/track/15BQ7vEDv2LJuh8TxWIhtd?si=
1984;203. Smooth Operator;Sade;https://open.spotify.com/track/1Hv1VTm8zeOeybub15mA2R?si=
2003;202. Pass This On;The Knife;https://open.spotify.com/track/0aWhxzFrP2Yyz3CetJe0xE?si=
1977;201. Stayin' Alive;Bee Gees;https://open.spotify.com/track/3mRM4NM8iO7UBqrSigCQFH?si=
1991;200. Only Shallow;My Bloody%Valentine;https://open.spotify.com/track/52UcjsM15hjCQAUbTW2hy1?si=
2005;199. Gårdakvarnar%& Skit;Håkan Hellström;https://open.spotify.com/track/33DxDFhE06bRC5tdHkIxhj?si=
2008;198. Heartless;Kanye West;https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5?si=
1966;197. Good Vibrations;The Beach Boys;https://open.spotify.com/track/5t9KYe0Fhd5cW6UYT4qP8f?si=
1996;196. It's All Coming%Back To Me Now;Céline Dion;https://open.spotify.com/track/5EQzuYfTZt7B2LqlvTF49l?si=
1968;195. The Weight;The Band;https://open.spotify.com/track/0P7DoyGrr4Wp9w5TotEtUC?si=
1982;194. Sexual Healing;Marvin Gaye;https://open.spotify.com/track/3VZmChrnVW8JK6ano4gSED?si=
1981;193. Computer Love;Kraftwerk;https://open.spotify.com/track/7CZdd0S4WTktuiiARS8pY4?si=
1977;192. Uptown Top%Ranking;Althea & Donna;https://open.spotify.com/track/34zWZOSpU2V1ab0PiZCcv4?si=
1997;191. No Surprises;Radiohead;https://open.spotify.com/track/10nyNJ6zNy2YVYLrcwLccB?si=
1976;190. Cherry Bomb;The Runaways;https://open.spotify.com/track/7cdnq45E9aP2XDStHg5vd7?si=
